IPO Date,Symbol,Company Name,IPO Price,Current,Return
"Sep 19, 2019",XGN,Exagen Inc.,$14.00,$8.75,-37.50%
"Sep 19, 2019",PING,Ping Identity Holding Corp.,$15.00,$18.44,22.93%
"Sep 19, 2019",DDOG,"Datadog, Inc.",$27.00,$138.02,411.19%
"Sep 18, 2019",IGMS,"IGM Biosciences, Inc.",$16.00,$17.00,6.25%
"Sep 18, 2019",NVST,Envista Holdings Corporation,$22.00,$43.18,96.27%
"Sep 17, 2019",APXT,Apex Technology Acquisition Corp.,$10.00,$12.11,12.11%
"Sep 13, 2019",ALRS,Alerus Financial Corporation,$21.00,$28.51,35.76%
"Sep 13, 2019",SWTX,"Springworks Therapeutics, Inc.",$18.00,$52.73,192.94%
"Sep 13, 2019",EXPC,Experience Investment Corp.,$10.00,$8.70,8.70%
"Sep 13, 2019",NET,"Cloudflare, Inc.",$15.00,$96.66,544.40%
"Sep 13, 2019",STSA,"Satsuma Pharmaceuticals, Inc.",$15.00,$4.89,-67.40%
"Sep 12, 2019",SDC,"SmileDirectClub, Inc.",$23.00,$2.45,-89.35%
"Sep 12, 2019",TXG,"10X Genomics, Inc.",$39.00,$90.42,131.85%
"Sep 11, 2019",SONG,Akazoo S.A.,-,-,-
"Sep 9, 2019",NPA,New Providence Acquisition Corp.,$10.00,$11.60,11.60%
"Aug 15, 2019",JFU,9F Inc.,$9.50,$1.03,-89.16%
"Aug 15, 2019",CFB,"CrossFirst Bankshares, Inc.",$14.50,$15.75,8.62%
"Aug 14, 2019",PLIN,"China Xiangtai Food Co., Ltd.",$5.00,$1.14,-77.20%
"Aug 9, 2019",THBR,Thunder Bridge Acquisition II Ltd.,$10.00,$10.87,10.87%
"Aug 8, 2019",SSPK,Silver Spike Acquisition Corp.,$10.00,$18.84,18.84%
"Aug 8, 2019",INMD,InMode Ltd.,$14.00,$46.85,234.64%
"Aug 5, 2019",AMTD,"AMTD International, Inc.",$8.38,$4.18,-50.12%
"Aug 2, 2019",ORSN,Orisun Acquisition,$10.00,$8.17,8.17%
"Aug 1, 2019",SNDL,Sundial Growers Inc.,$13.00,$0.49,-96.27%
"Aug 1, 2019",KRUS,"Kura Sushi USA, Inc.",$14.00,$43.22,208.71%
"Aug 1, 2019",DT,"Dynatrace, Inc.",$16.00,$44.00,175.00%
"Jul 31, 2019",NFIN,Netfin Acquisition,$10.00,$11.40,11.40%
"Jul 31, 2019",BORR,Borr Drilling Limited,$9.30,$2.17,-76.67%
"Jul 26, 2019",CCX,Churchill Capital Corp II,$10.00,$10.75,10.75%
"Jul 26, 2019",BHAT,Blue Hat Interactive Entertainment Technology,$4.00,$0.36,-91.13%
"Jul 26, 2019",SBE,Switchback Energy Acquisition Corporation,$10.00,$30.83,30.83%
"Jul 26, 2019",VIST,Vista Oil &amp; Gas SAB de CV,$9.00,$6.32,-29.78%
"Jul 26, 2019",WSG,Wanda Sports Group Co. Ltd.,$8.00,$2.50,2.50%
"Jul 25, 2019",PROS,"ProSight Global, Inc.",$14.00,$12.85,12.85%
"Jul 25, 2019",FLLC,"Fellazo, Inc.",$10.00,$10.00,10.00%
"Jul 25, 2019",NOVA,"Sunnova Energy International, Inc.",$12.00,$17.18,43.17%
"Jul 25, 2019",LVGO,Livongo Health,$28.00,$139.77,139.77%
"Jul 25, 2019",HCAT,"Health Catalyst, Inc.",$26.00,$28.01,7.73%
"Jul 25, 2019",CSTL,"Castle Biosciences, Inc.",$16.00,$41.70,160.63%
"Jul 24, 2019",EIC,"Eagle Point Income Company, Inc.",$19.00,$17.19,-9.53%
"Jul 19, 2019",MDLA,"Medallia, Inc.",$21.00,$33.99,33.99%
"Jul 19, 2019",IFS,Intercorp Financial Services Inc.,$46.00,$30.79,-33.07%
"Jul 19, 2019",AFYA,Afya Limited,$19.00,$14.00,-26.32%
"Jul 18, 2019",IHRT,"iHeartMedia, Inc.",$17.00,$19.31,13.59%
"Jul 18, 2019",OAC,Oaktree Acquisition Corp.,$10.00,$16.38,16.38%
"Jul 18, 2019",CPAA.D,Conyers Park II Acquisition Corp.,$10.00,$8.86,8.86%
"Jul 18, 2019",FULC,"Fulcrum Therapeutics, Inc.",$16.00,$10.73,-32.94%
"Jul 18, 2019",MIRM,"Mirum Pharmaceuticals, Inc.",$15.00,$18.71,24.73%
"Jul 18, 2019",AMK,"AssetMark Financial Holdings, Inc.",$22.00,$23.60,7.27%
"Jul 18, 2019",PHR,"Phreesia, Inc.",$17.00,$29.22,71.88%
"Jul 18, 2019",ORCC,Owl Rock Capital Corporation,$15.30,$14.71,-3.86%
"Jul 17, 2019",DOYU,DouYu International Holdings Ltd.,$11.50,$2.09,-81.83%
"Jul 12, 2019",THCA,Tuscan Holdings Corp. II,$10.00,$10.24,2.40%
"Jul 12, 2019",SCPE,SC Health Corporation,$10.00,$15.84,15.84%
"Jul 12, 2019",PIC,Pivotal Investment Corporation II,$10.00,$19.54,19.54%
"Jul 2, 2019",RMBI,"Richmond Mutual Bancorporation, Inc.",$10.00,$16.46,64.60%
"Jun 28, 2019",KRTX,"Karuna Therapeutics, Inc.",$16.00,$105.24,557.75%
"Jun 28, 2019",REAL,"The RealReal, Inc.",$20.00,$8.22,-58.90%
"Jun 27, 2019",CHNG,"Change Healthcare, Inc.",$13.00,$19.11,47.00%
"Jun 27, 2019",BBIO,"BridgeBio Pharma, Inc.",$17.00,$9.81,-42.29%
"Jun 27, 2019",ADPT,Adaptive Biotechnologies Corporation,$20.00,$15.91,-20.45%
"Jun 27, 2019",MORF,"Morphic Holding, Inc.",$15.00,$40.51,170.07%
"Jun 26, 2019",CMBM,Cambium Networks Corporation,$12.00,$24.44,103.67%
"Jun 26, 2019",LINX,Linx S.A.,$9.40,$7.50,7.50%
"Jun 20, 2019",PSNL,"Personalis, Inc.",$17.00,$11.15,-34.41%
"Jun 20, 2019",BCEL,"Atreca, Inc.",$17.00,$1.83,-89.24%
"Jun 20, 2019",GO,Grocery Outlet Holding Corporation,$22.00,$25.26,14.82%
"Jun 20, 2019",AKRO,"Akero Therapeutics, Inc.",$16.00,$17.39,8.69%
"Jun 20, 2019",WORK,"Slack Technologies, Inc.",$26.00,$45.20,45.20%
"Jun 20, 2019",PRVL,Prevail Therapeutics Inc.,$17.00,$23.00,23.00%
"Jun 20, 2019",SMMC,South Mountain Merger Corp.,$10.00,$16.80,16.80%
"Jun 19, 2019",STOK,"Stoke Therapeutics, Inc.",$18.00,$17.30,-3.89%
"Jun 14, 2019",CHWY,"Chewy, Inc.",$22.00,$43.69,98.59%
"Jun 13, 2019",FVRR,Fiverr International Ltd.,$21.00,$78.73,274.90%
"Jun 12, 2019",CRWD,"CrowdStrike Holdings, Inc.",$34.00,$170.63,401.85%
"Jun 12, 2019",MWK,"Mohawk Group Holdings, Inc.",$10.00,$23.70,23.70%
"Jun 7, 2019",HYAC.D,Haymaker Acquisition Corp. II,$10.00,$9.52,9.52%
"Jun 7, 2019",RVLV,"Revolve Group, Inc.",$18.00,$49.57,175.39%
"Jun 6, 2019",GIX,"GigCapital2, Inc.",$10.00,$10.47,10.47%
"Jun 6, 2019",GOTU,"Gaotu Techedu, Inc.",$10.50,$1.80,-82.86%
"May 23, 2019",BCYC,Bicycle Therapeutics PLC,$14.00,$47.63,240.21%
"May 23, 2019",IDYA,"IDEAYA Biosciences, Inc.",$10.00,$15.55,55.50%
"May 23, 2019",RTLR,Rattler Midstream LP,$17.50,$12.49,-28.63%
"May 21, 2019",GXGX,GX Acquisition Corp.,$10.00,$10.20,10.20%
"May 17, 2019",LKNCY,"Luckin Coffee, Inc.",$17.00,$11.22,-34.03%
"May 17, 2019",FSLY,"Fastly, Inc.",$16.00,$25.56,59.75%
"May 17, 2019",AVTR,"Avantor, Inc.",$14.00,$37.77,169.79%
"May 15, 2019",PSTL,"Postal Realty Trust, Inc.",$17.00,$17.85,5.00%
"May 14, 2019",AGBA,AGBA Acquisition Limited,$10.00,$11.04,10.40%
"May 14, 2019",APLT,"Applied Therapeutics, Inc.",$10.00,$2.75,-72.50%
"May 10, 2019",JFIN,Jiayin Group Inc.,$10.50,$2.02,-80.76%
"May 10, 2019",UBER,"Uber Technologies, Inc.",$45.00,$34.54,-23.24%
"May 10, 2019",SONM,"Sonim Technologies, Inc.",$11.00,$0.63,-94.27%
"May 9, 2019",CRTX,"Cortexyme, Inc.",$17.00,$5.63,-66.88%
"May 9, 2019",AXLA,"Axcella Health, Inc.",$20.00,$1.71,-91.45%
"May 9, 2019",HHR,Headhunter Group PLC,$13.50,$45.34,235.85%
"May 9, 2019",SPFI,"South Plains Financial, Inc.",$17.50,$28.95,65.43%
"May 9, 2019",MEC,"Mayville Engineering Company, Inc.",$17.00,$11.19,-34.18%
