IPO Date,Symbol,Company Name,IPO Price,Current,Return
"Feb 3, 2022",MURF,Murphy Canyon Acquisition Corp.,$10.00,$10.04,0.35%
"Feb 2, 2022",MTEK,Maris-Tech Ltd.,$4.20,$2.59,-38.33%
"Feb 1, 2022",ACAX,Alset Capital Acquisition Corp.,$10.00,$9.98,-0.24%
"Jan 31, 2022",BWAQ,Blue World Acquisition Corporation,$10.00,$10.06,0.60%
"Jan 27, 2022",CRDO,Credo Technology Group Holding Ltd,$10.00,$12.82,28.20%
"Jan 27, 2022",KSCP,"Knightscope, Inc.",$10.00,$8.88,-11.20%
"Jan 25, 2022",LATG,LatAmGrowth SPAC,$10.00,$9.97,-0.30%
"Jan 25, 2022",FGI,FGI Industries Ltd.,$6.00,$4.05,-32.50%
"Jan 25, 2022",KYCH,Keyarch Acquisition Corporation,$10.00,$9.99,-0.12%
"Jan 21, 2022",HMA,Heartland Media Acquisition Corp.,$10.00,$10.01,0.05%
"Jan 21, 2022",HCMA,HCM Acquisition Corp.,$10.00,$9.96,-0.40%
"Jan 21, 2022",KNSW,KnightSwan Acquisition Corporation,$10.00,$10.00,0.00%
"Jan 20, 2022",DUET,DUET Acquisition Corp.,$10.00,$9.98,-0.20%
"Jan 20, 2022",GAQ,Generation Asia I Acquisition Limited,$10.00,$9.86,-1.40%
"Jan 20, 2022",BYN,Banyan Acquisition Corporation,$10.00,$9.98,-0.20%
"Jan 19, 2022",AIB,AIB Acquisition Corporation,$10.00,$9.93,-0.70%
"Jan 18, 2022",TETE,Technology &amp; Telecommunication Acquisition Corporation,$10.00,$10.04,0.40%
"Jan 18, 2022",TKLF,"Yoshitsu Co., Ltd",$4.00,$3.42,-14.50%
"Jan 14, 2022",ACAB,Atlantic Coastal Acquisition Corp. II,$10.00,$9.99,-0.10%
"Jan 14, 2022",PPYA,Papaya Growth Opportunity Corp. I,$10.00,$9.96,-0.40%
"Jan 13, 2022",WNNR,Andretti Acquisition Corp.,$10.00,$9.99,-0.15%
"Jan 13, 2022",CSLM,"Consilium Acquisition Corp I, Ltd.",$10.00,$10.03,0.30%
"Jan 13, 2022",TPG,TPG Inc.,$29.50,$32.74,10.98%
"Jan 12, 2022",ITAQ,"Industrial Tech Acquisitions II, Inc.",$10.00,$9.98,-0.20%
"Jan 12, 2022",WAVS,Western Acquisition Ventures Corp.,$10.00,$10.00,0.00%
"Jan 12, 2022",HILS,"Hillstream BioPharma, Inc.",$4.00,$3.90,-2.50%
"Jan 12, 2022",GHIX,"Gores Holdings IX, Inc.",$10.00,$10.07,0.70%
"Jan 12, 2022",VCXB,10x Capital Venture Acquisition Corp. III,$10.00,$10.04,0.40%
"Jan 11, 2022",BRAC,Broad Capital Acquisition Corp.,$10.00,$10.00,0.00%
"Jan 7, 2022",CINC,"CinCor Pharma, Inc.",$16.00,$19.07,19.19%
"Jan 7, 2022",CXAC,C5 Acquisition Corporation,$10.00,$10.02,0.20%
"Jan 7, 2022",VIGL,"Vigil Neuroscience, Inc.",$14.00,$13.77,-1.64%
"Jan 7, 2022",AMLX,"Amylyx Pharmaceuticals, Inc.",$19.00,$22.74,19.68%
"Jan 7, 2022",VBOC,Viscogliosi Brothers Acquisition Corp.,$10.00,$9.99,-0.10%
"Jan 7, 2022",HOUR,"Hour Loop, Inc.",$4.00,$2.68,-33.00%
"Jan 6, 2022",SCRM,Screaming Eagle Acquisition Corp.,$10.00,$9.95,-0.50%
"Jan 5, 2022",CITE,Cartica Acquisition Corp,$10.00,$10.02,0.20%
