IPO Date,Symbol,Company Name,IPO Price,Current,Return
12/29/2020,MRM,"Medirom Healthcare Technologies, Inc.",15.00,6.14,-59.07%
12/24/2020,VTAQ,Ventoux CCM Acquisition Corp.,10.00,10.05,0.50%
12/23/2020,CFIV,CF Acquisition Corp. IV,10.00,9.76,-2.40%
12/23/2020,GBS,"GBS, Inc.",17.00,0.90,-94.71%
12/23/2020,VHAQ,Viveon Health Acquisition Corp.,10.00,10.06,0.60%
12/23/2020,IKT,"Inhibikase Therapeutics, Inc.",10.00,1.39,-86.10%
12/23/2020,VII,"7GC &amp; Co. Holdings, Inc.",10.00,9.75,-2.50%
12/23/2020,HCAR,Healthcare Services Acquisition Corporation,10.00,9.74,-2.60%
12/21/2020,ACKIT,Ackrell SPAC Partners I Co.,10.00,10.16,1.60%
12/18/2020,DUNE,Dune Acquisition Corporation,10.00,9.90,-1.00%
12/18/2020,IIII,Insu Acquisition Corp. III,10.00,9.73,-2.70%
12/18/2020,GFX,Golden Falcon Acquisition Corp.,10.00,9.76,-2.40%
12/18/2020,MTAC,MedTech Acquisition Corporation,10.00,9.90,-1.00%
12/18/2020,SVOK,Seven Oaks Acquisition Corp.,10.00,9.08,-9.20%
12/18/2020,MASS,"908 Devices, Inc.",20.00,15.29,-23.55%
12/17/2020,VIRI,"Virios Therapeutics, Inc.",10.00,6.46,-35.40%
12/17/2020,MDWT,"Midwest Holding, Inc.",70.00,20.25,-71.07%
12/17/2020,COOL,Corner Growth Acquisition Corp.,10.00,9.75,-2.50%
12/17/2020,SCOA,ScION Tech Growth I,10.00,9.75,-2.50%
12/16/2020,CCV,Churchill Capital Corp V,10.00,9.79,-2.10%
12/16/2020,SCPS,"Scopus Biopharma, Inc.",5.50,1.06,-80.73%
12/16/2020,BCAB,"BioAtla, Inc.",18.00,8.03,-55.39%
12/16/2020,WISH,"ContextLogic, Inc.",24.00,2.31,-90.38%
12/16/2020,UPST,"Upstart Holdings, Inc.",20.00,97.93,389.65%
12/15/2020,ATA,Americas Technology Acquisition Corp.,10.00,10.19,1.90%
12/15/2020,WNW,Wunong Net Technology Company Limited,5.00,1.90,-62.00%
12/15/2020,MRAC,Marquee Raine Acquisition Corp.,10.00,10.92,10.92%
12/15/2020,BLUW,Blue Water Acquisition Corp.,10.00,9.63,9.63%
12/15/2020,KINZ,"Kins Technology Group, Inc.",10.00,10.00,0.00%
12/15/2020,OCG,Oriental Culture Holding Ltd.,4.00,4.07,1.75%
12/11/2020,FDMT,"4D Molecular Therapeutics, Inc.",23.00,15.28,-33.57%
12/11/2020,GHVI,"Gores Holdings VI, Inc.",10.00,14.47,14.47%
12/11/2020,SNRH,Senior Connect Acquisition Corp. I,10.00,9.75,-2.50%
12/11/2020,CBAH,"CBRE Acquisition Holdings, Inc.",10.00,10.75,7.50%
12/11/2020,ABCL,AbCellera Biologics Inc.,20.00,9.34,-53.30%
12/11/2020,VVOS,"Vivos Therapeutics, Inc.",6.00,2.35,-60.83%
12/11/2020,NBTX,Nanobiotix S.A.,13.50,8.75,-35.22%
12/11/2020,DWIN,Delwinds Insurance Acquisition Corp.,10.00,9.90,-1.00%
12/11/2020,EDTX,EdtechX Holdings Acquisition Corp. II,10.00,10.05,0.45%
12/11/2020,GLAQ,Globis Acquisition Corp.,10.00,10.16,1.60%
12/11/2020,CERT,"Certara, Inc.",23.00,25.73,11.87%
12/11/2020,MOTV,Motive Capital Corp,10.00,9.92,-0.80%
12/11/2020,ROCC.D,Roth CC Acquisition Corp. II,10.00,9.49,9.49%
12/11/2020,TVAC,Thayer Ventures Acquisition Corporation,10.00,9.13,-8.70%
12/10/2020,CTAQ,Carney Technology Acquisition Corp. II,10.00,9.77,-2.30%
12/10/2020,RMGB,RMG Acquisition Corp. II,10.00,8.85,8.85%
12/10/2020,HYFM,"Hydrofarm Holdings Group, Inc.",20.00,17.65,-11.75%
12/10/2020,PCPC,Periphas Capital Partnering Corporation,25.00,24.43,-2.28%
12/10/2020,ABNB,"Airbnb, Inc.",68.00,149.57,119.96%
12/9/2020,AI,"C3.ai, Inc.",42.00,23.87,-43.17%
12/9/2020,DASH,"DoorDash, Inc.",102.00,92.29,-9.52%
12/9/2020,FLAC,Frazier Lifesciences Acquisition Corp.,10.00,9.75,-2.50%
12/9/2020,PUBM,"PubMatic, Inc.",20.00,24.60,23.00%
12/9/2020,ALTU,Altitude Acquisition Corp.,10.00,9.91,-0.95%
12/9/2020,HMCO,HumanCo Acquisition Corp.,10.00,9.79,-2.10%
12/9/2020,NEBC,Nebula Caravel Acquisition Corp.,10.00,10.99,10.99%
12/8/2020,CND,Concord Acquisition Corp,10.00,9.99,-0.10%
12/8/2020,RAAC,Revolution Acceleration Acquisition Corp.,10.00,9.30,9.30%
12/8/2020,MUDS,Mudrick Capital Acquisition Corp. II,10.00,9.97,-0.30%
12/8/2020,DDMX,DD3 Acquisition Corp. II,10.00,9.42,-5.80%
12/4/2020,SBTX,"Silverback Therapeutics, Inc.",21.00,4.36,-79.24%
12/4/2020,FTCV,FinTech Acquisition Corp. V,10.00,9.88,-1.20%
12/4/2020,YQ,"17 Education &amp; Technology Group, Inc.",10.50,1.05,-90.00%
12/4/2020,SGTX,"Sigilon Therapeutics, Inc.",18.00,1.75,-90.28%
12/4/2020,PTIC,Proptech Investment Corporation II,10.00,9.77,-2.30%
12/4/2020,SEER,"Seer, Inc.",19.00,15.23,-19.84%
12/3/2020,DCBO,"Docebo, Inc.",52.21,52.54,0.63%
12/3/2020,HTPA,Highland Transcend Partners I Corp.,10.00,9.94,-0.60%
12/3/2020,SPFR,Jaws Spitfire Acquisition Corporation,10.00,8.44,8.44%
12/3/2020,LOKB,Live Oak Acquisition Corp II,10.00,13.38,13.38%
12/3/2020,FPAC,Far Peak Acquisition Corporation,10.00,9.94,-0.60%
12/3/2020,KNTE,"Kinnate Biopharma, Inc.",20.00,9.44,-52.80%
12/2/2020,TACA,Trepont Acquisition Corp. I,10.00,10.02,0.20%
12/2/2020,RSVA,Rodgers Silicon Valley Acquisition Corp,10.00,20.36,20.36%
12/2/2020,CAP,Capitol Investment Corp. V,10.00,7.95,7.95%
11/30/2020,SGAM,Seaport Global Acquisition Corp.,10.00,9.62,9.62%
11/25/2020,FRX,Forest Road Acquisition Corp.,10.00,12.00,12.00%
11/25/2020,SPRQ,Spartan Acquisition Corp. II,10.00,9.46,9.46%
11/24/2020,VMAR,"Vision Marine Technologies, Inc.",10.00,4.88,-51.20%
11/24/2020,HFEN,"HF Enterprises, Inc.",7.00,6.15,6.15%
11/24/2020,GNPK,Genesis Park Acquisition Corp.,10.00,10.50,10.50%
11/24/2020,OZON,Ozon Holdings PLC,30.00,19.72,-34.27%
11/24/2020,SV,Spring Valley Acquisition Corp.,10.00,10.02,0.20%
11/24/2020,TINV,Tiga Acquisition Corp.,10.00,10.18,1.80%
11/24/2020,VCVC,10X Capital Venture Acquisition Corp,10.00,9.85,9.85%
11/23/2020,BREZ,Breeze Holdings Acquisition Corp.,10.00,10.25,2.50%
11/20/2020,CAS,Cascade Acquisition Corp,10.00,10.00,0.00%
11/20/2020,ARBG,Aequi Acquisition Corp.,10.00,9.77,-2.30%
11/20/2020,MRVI,"Maravai LifeSciences Holdings, Inc.",27.00,29.38,8.81%
11/20/2020,KWAC,Kingswood Acquisition Corp.,10.00,10.16,1.60%
11/20/2020,LSAQ,LifeSci Acquisition II Corp.,10.00,9.01,9.01%
11/20/2020,OCA,Omnichannel Acquisition Corp.,10.00,9.93,-0.70%
11/20/2020,SHC,Sotera Health Company,23.00,21.29,-7.43%
11/19/2020,YSG,Yatsen Holding Limited,10.50,1.48,-85.90%
11/19/2020,JYAC,Jiya Acquisition Corp.,10.00,9.76,-2.40%
11/19/2020,OLMA,"Olema Pharmaceuticals, Inc.",19.00,5.88,-69.05%
11/19/2020,IIAC,Investindustrial Acquisition Corp.,10.00,10.14,1.40%
11/19/2020,TLS,Telos Corporation,17.00,10.11,-40.53%
11/19/2020,LNFA,L&amp;F Acquisition Corp.,10.00,10.06,0.60%
11/19/2020,RTPZ,Reinvent Technology Partners Z,10.00,9.79,9.79%
11/19/2020,CHFW,Consonance-HFW Acquisition Corp.,10.00,9.79,9.79%
