Ticker,Listed Data,City,State,Number of employees,Industry,IPO Price,Current,Return,Year
BLUA,2021-03-22,SAN ANTONIO,TX,3.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
MIT,2021-03-22,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
ZWRK,2021-03-22,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
BCAC,2021-02-22,NEW YORK,NY,3.0,BLANK CHECKS,10.0,10.01,0.10%,2021
HMPT,2021-01-29,ANN ARBOR,MI,2600.0,MORTGAGE BANKERS & LOAN CORRESPONDENTS,13.0,3.92,-69.85%,2021
GCAC,2021-03-22,NEW YORK,NY,2.0,MOTOR VEHICLE PARTS & ACCESSORIES,10.0,9.97,-0.30%,2021
EQHA,2021-03-22,AUSTIN,TX,2.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
CLRM,2021-03-22,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
IGNY,2021-03-12,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.77,-2.30%,2021
ITHX,2021-03-19,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.84,-1.60%,2021
TLGA,2021-03-22,WEST PALM BEACH,FL,2.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
XM,2021-01-28,PROVO,UT,3455.0,SERVICES-PREPACKAGED SOFTWARE,30.0,28.64,-4.53%,2021
OCDX,2021-01-28,RARITAN,NJ,4700.0,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,17.0,17.30,1.76%,2021
CLIM,2021-03-19,PRINCETON,NJ,5.0,BLANK CHECKS,10.0,9.77,-2.30%,2021
FSSI,2021-03-19,WHITE PLAINS,NY,5.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
SHLS,2021-01-27,PORTLAND,TN,504.0,SEMICONDUCTORS & RELATED DEVICES,25.0,15.47,-38.12%,2021
BIOT,2021-03-18,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.87,-1.35%,2021
DHHC,2021-03-18,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
NSTB,2021-02-11,NEW YORK,NY,3.0,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",10.0,9.73,-2.70%,2021
SSAA,2021-03-18,SANTA MONICA,CA,5.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
LMAO,2021-03-18,TAMPA,FL,2.0,BLANK CHECKS,10.0,10.04,0.40%,2021
DNZ,2021-03-18,ATLANTA,GA,2.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
HCII,2021-03-18,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
JCIC,2021-03-15,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
MNTK,2021-01-22,PITTSBURGH,PA,115.0,GAS & OTHER SERVICES COMBINED,8.5,10.38,22.12%,2021
SHAC,2021-03-15,TAMPA,FL,3.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
OEPW,2021-03-15,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
DFH,2021-01-21,JACKSONVILLE,FL,542.0,OPERATIVE BUILDERS,13.0,17.66,35.85%,2021
OSTR,2021-03-12,STAMFORD,CT,3.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
TZPS,2021-03-12,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
GMBT,2021-03-15,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.88,-1.20%,2021
CLAS,2021-03-08,SAN DIEGO,CA,3.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
HCCC,2021-03-08,WILMINGTON,DE,2.0,BLANK CHECKS,10.0,9.97,-0.30%,2021
ADER,2021-03-08,MIAMI,FL,2.0,BLANK CHECKS,10.0,9.89,-1.15%,2021
OCAX,2021-03-08,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.99,-0.10%,2021
EAC,2021-02-16,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
AEAC,2021-03-08,RYE,NY,3.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
HCIC,2021-03-08,WILSON,WY,3.0,BLANK CHECKS,10.0,9.76,-2.40%,2021
GNAC,2021-03-08,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.78,-2.20%,2021
DRVN,2021-01-15,CHARLOTTE,NC,6900.0,"SERVICES-AUTOMOTIVE REPAIR, SERVICES & PARKING",22.0,27.83,26.50%,2021
POSH,2021-01-14,REDWOOD CITY,CA,558.0,RETAIL-CATALOG & MAIL-ORDER HOUSES,42.0,14.29,-65.98%,2021
MON,2021-03-12,INDIANAPOLIS,IN,5.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
WOOF,2021-01-14,SAN DIEGO,CA,27081.0,"RETAIL-RETAIL STORES, NEC",18.0,18.09,0.50%,2021
HLAH,2021-03-05,CONSHOHOCKEN,PA,3.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
MSGM,2021-01-13,MIAMI,FL,96.0,SERVICES-PREPACKAGED SOFTWARE,20.0,3.48,-82.60%,2021
PNTM,2021-03-05,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
DLCA,2021-03-05,INCLINE VILLAGE,NV,3.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
FINM,2021-03-05,HERMOSA BEACH,CA,2.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
FCAX,2021-03-05,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.77,-2.30%,2021
AFRM,2021-01-13,SAN FRANCISCO,CA,1876.0,"SERVICES-BUSINESS SERVICES, NEC",49.0,57.49,17.33%,2021
GPAC,2021-03-04,RYE BROOK,NY,2.0,BLANK CHECKS,10.0,9.76,-2.40%,2021
SWET,2021-03-05,CAMBRIDGE,MA,2.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
ADEX,2021-03-03,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.90,-1.00%,2021
LJAQ,2021-03-02,MENLO PARK,CA,4.0,BLANK CHECKS,10.0,9.86,-1.40%,2021
CGEM,2021-01-08,CAMBRIDGE,MA,33.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",21.0,12.80,-39.05%,2021
POW,2021-03-03,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
TMKR,2021-03-01,NEW YORK,NY,5.0,BLANK CHECKS,10.0,9.83,-1.70%,2021
KLAQ,2021-03-01,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.74,-2.65%,2021
PRSR,2021-03-01,LA JOLLA,CA,2.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
EPHY,2021-03-01,BURLINGAME,CA,3.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
SVFA,2021-01-27,SAN CARLOS,CA,2.0,BLANK CHECKS,10.0,9.77,-2.35%,2021
PACX,2021-03-01,NEW YORK,NY,6.0,FINANCE SERVICES,10.0,9.77,-2.30%,2021
LHC,2021-03-01,LOS ANGELES,CA,3.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
GSAQ,2021-03-01,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.88,-1.20%,2021
EPWR,2021-03-01,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.76,-2.40%,2021
VTIQ,2021-03-03,MAMARONECK,NY,4.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
IVAN,2021-03-01,NEW YORK,NY,3.0,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",10.0,7.68,-23.20%,2021
BLTS,2021-03-01,LOS ANGELES,CA,2.0,BLANK CHECKS,10.0,9.90,-1.00%,2021
OMEG,2021-01-07,BOSTON,MA,3.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
INKA,2021-03-01,PALO ALTO,CA,4.0,BLANK CHECKS,10.0,9.89,-1.10%,2021
AGCB,2021-01-07,MENLO PARK,CA,2.0,BLANK CHECKS,10.0,9.77,-2.30%,2021
VCKA,2021-03-03,NEW YORK,NY,2.0,BLANK CHECKS,10.0,10.12,1.20%,2021
AKIC,2021-02-26,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.83,-1.70%,2021
KAIR,2021-02-26,NORWALK,CT,2.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
BENE,2021-01-28,MIAMI,FL,2.0,BLANK CHECKS,10.0,10.20,2.00%,2021
CRU,2021-02-25,LOUISVILLE,CO,3.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
FVT,2021-02-25,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.80,-2.00%,2021
