Ticker,Listed Data,City,State,Number of employees,Industry,IPO Price,Current,Return,Year
LDHA,2021-05-10,MIAMI,FL,5.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
LGV,2021-05-10,NEW YORK,NY,3.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,10.0,9.71,-2.90%,2021
TIL,2021-03-19,DALLAS,TX,382.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",20.0,11.22,-43.90%,2021
AFAQ,2021-05-18,PALM BEACH,FL,3.0,BLANK CHECKS,10.0,9.66,-3.40%,2021
REVH,2021-05-10,CAMBRIDGE,MA,4.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
FMIV,2021-05-13,DELRAY BEACH,FL,2.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
GXII,2021-05-10,NEW YORK,NY,6.0,BLANK CHECKS,10.0,9.68,-3.20%,2021
AMAO,2021-04-29,FISHERS,IN,2.0,BLANK CHECKS,10.0,10.05,0.50%,2021
AAQC,2021-05-10,SHORT HILLS,NJ,3.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
GANX,2021-03-18,BETHESDA,MD,16.0,PHARMACEUTICAL PREPARATIONS,11.0,4.55,-58.64%,2021
RACB,2021-03-18,LAS VEGAS,NV,3.0,BLANK CHECKS,10.0,9.77,-2.30%,2021
NAPA,2021-03-18,SAINT HELENA,CA,474.0,BEVERAGES,15.0,19.46,29.73%,2021
GAMC,2021-05-07,NEW YORK,NY,1.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
OLO,2021-03-17,NEW YORK,NY,433.0,"SERVICES-BUSINESS SERVICES, NEC",25.0,16.42,-34.32%,2021
TETC,2021-05-07,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
SNCY,2021-03-17,MINNEAPOLIS,MN,1699.0,"AIR TRANSPORTATION, SCHEDULED",24.0,26.25,9.38%,2021
KSI,2021-05-07,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.67,-3.30%,2021
BGSX,2021-05-07,AUSTIN,TX,3.0,BLANK CHECKS,10.0,9.75,-2.50%,2021
KAHC,2021-05-07,NEW YORK,NY,1.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
WALD,2021-05-10,WHITE PLAINS,NY,4.0,BLANK CHECKS,10.0,9.89,-1.10%,2021
FZT,2021-05-06,RIDGEFIELD,CT,4.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
PLMI,2021-05-06,SAN FRANCISCO,CA,4.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
FVIV,2021-05-06,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
GTPA,2021-05-03,BOULDER,CO,3.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
FTPA,2021-05-03,PHILADELPHIA,PA,2.0,BLANK CHECKS,10.0,9.69,-3.10%,2021
RXDX,2021-03-12,SAN DIEGO,CA,36.0,PHARMACEUTICAL PREPARATIONS,19.0,35.29,85.74%,2021
JOAN,2021-03-12,HUDSON,OH,27500.0,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,12.0,11.12,-7.33%,2021
HAYW,2021-03-12,BERKELEY HEIGHTS,NJ,2555.0,REFRIGERATION & SERVICE INDUSTRY MACHINERY,17.0,18.99,11.71%,2021
ROSS,2021-05-03,PALM BEACH,FL,3.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
LBPH,2021-03-12,LA JOLLA,CA,14.0,PHARMACEUTICAL PREPARATIONS,16.0,4.28,-73.25%,2021
SCAQ,2021-05-03,SAN FRANCISCO,CA,2.0,BLANK CHECKS,10.0,9.68,-3.20%,2021
GTPB,2021-05-03,BOULDER,CO,3.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
CFFE,2021-05-03,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.95,-0.50%,2021
SPKB,2021-05-03,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.80,-2.00%,2021
PTOC,2021-05-03,AURORA,OH,2.0,BLANK CHECKS,10.0,9.89,-1.10%,2021
FRON,2021-05-03,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.69,-3.10%,2021
ESM,2021-04-30,HOUSTON,TX,2.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
